key,value,lookup
amenity,fuel,automotive
amenity,parking_entrance,automotive
amenity,charging_station,automotive
amenity,car_wash,automotive
amenity,taxi,automotive
amenity,ferry_terminal,automotive
shop,car_repair,automotive
shop,car,automotive
shop,car_parts,automotive
shop,tyres,automotive
shop,motorcycle,automotive
shop,motorcycle_repair,automotive
building,industrial,business
building,commercial,business
craft,grinding_mill,business
craft,carpenter,business
craft,winery,business
craft,metal_construction,business
craft,brewery,business
office,company,business
office,yes,business
office,educational_institution,business
office,telecommunication,business
office,association,business
office,ngo,business
office,it,business
office,religion,business
office,research,business
office,architect,business
office,advertising_agency,business
place,farm,business
railway,facility,business
amenity,theatre,culture
historic,archaeological_site,culture
historic,wayside_cross,culture
historic,yes,culture
historic,ruins,culture
historic,wayside_shrine,culture
historic,boundary_stone,culture
historic,tomb,culture
historic,castle,culture
historic,shieling,culture
historic,citywalls,culture
historic,mine,culture
tourism,artwork,culture
tourism,museum,culture
tourism,gallery,culture
amenity,school,education
amenity,kindergarten,education
amenity,library,education
amenity,college,education
amenity,university,education
amenity,public_bookcase,education
building,school,education
railway,narrow_gauge,education
railway,miniature,education
amenity,shelter,entertainment_recreation
amenity,community_centre,entertainment_recreation
amenity,fountain,entertainment_recreation
amenity,water_point,entertainment_recreation
historic,memorial,entertainment_recreation
historic,building,entertainment_recreation
historic,monument,entertainment_recreation
historic,railway,entertainment_recreation
historic,manor,entertainment_recreation
historic,heritage,entertainment_recreation
historic,church,entertainment_recreation
leisure,garden,entertainment_recreation
leisure,park,entertainment_recreation
leisure,playground,entertainment_recreation
leisure,nature_reserve,entertainment_recreation
leisure,slipway,entertainment_recreation
leisure,marina,entertainment_recreation
leisure,dog_park,entertainment_recreation
leisure,resort,entertainment_recreation
leisure,horse_riding,entertainment_recreation
leisure,fishing,entertainment_recreation
leisure,sauna,entertainment_recreation
leisure,beach_resort,entertainment_recreation
leisure,water_park,entertainment_recreation
leisure,dance,entertainment_recreation
man_made,street_cabinet,entertainment_recreation
man_made,lighthouse,entertainment_recreation
man_made,watermill,entertainment_recreation
man_made,windmill,entertainment_recreation
place,square,entertainment_recreation
place,allotments,entertainment_recreation
tourism,information,entertainment_recreation
tourism,viewpoint,entertainment_recreation
tourism,attraction,entertainment_recreation
tourism,picnic_site,entertainment_recreation
tourism,theme_park,entertainment_recreation
amenity,drinking_water,facilities
amenity,bank,finance
amenity,atm,finance
office,accountant,finance
office,tax_advisor,finance
office,financial,finance
amenity,restaurant,food_drink
amenity,fast_food,food_drink
amenity,cafe,food_drink
amenity,bar,food_drink
amenity,pub,food_drink
amenity,ice_cream,food_drink
place,hamlet,geographical
place,locality,geographical
place,village,geographical
place,isolated_dwelling,geographical
place,islet,geographical
place,neighbourhood,geographical
place,plot,geographical
place,suburb,geographical
place,quarter,geographical
place,town,geographical
place,island,geographical
place,municipality,geographical
place,city,geographical
amenity,post_office,government
amenity,townhall,government
amenity,police,government
amenity,fire_station,government
amenity,public_building,government
office,government,government
office,diplomatic,government
amenity,pharmacy,health_wellness
amenity,hospital,health_wellness
amenity,clinic,health_wellness
amenity,doctors,health_wellness
amenity,social_facility,health_wellness
amenity,dentist,health_wellness
healthcare,pharmacy,health_wellness
healthcare,doctor,health_wellness
healthcare,clinic,health_wellness
healthcare,hospital,health_wellness
healthcare,dentist,health_wellness
healthcare,centre,health_wellness
healthcare,physiotherapist,health_wellness
healthcare,laboratory,health_wellness
healthcare,alternative,health_wellness
healthcare,yes,health_wellness
shop,medical_supply,health_wellness
shop,hearing_aids,health_wellness
building,apartments,housing
tourism,hotel,lodging
tourism,guest_house,lodging
tourism,camp_site,lodging
tourism,camp_pitch,lodging
tourism,chalet,lodging
tourism,apartment,lodging
tourism,hostel,lodging
tourism,motel,lodging
tourism,caravan_site,lodging
tourism,wilderness_hut,lodging
tourism,alpine_hut,lodging
natural,water,natural
natural,wood,natural
natural,wetland,natural
natural,grassland,natural
natural,coastline,natural
natural,bare_rock,natural
natural,peak,natural
natural,cliff,natural
natural,spring,natural
natural,rock,natural
natural,beach,natural
natural,ridge,natural
waterway,stream,natural
waterway,ditch,natural
waterway,river,natural
waterway,drain,natural
waterway,canal,natural
waterway,dam,natural
waterway,weir,natural
waterway,waterfall,natural
amenity,place_of_worship,places of worship
amenity,grave_yard,services
amenity,parcel_locker,services
amenity,childcare,services
amenity,veterinary,services
amenity,driving_school,services
craft,electronics_repair,services
craft,electrician,services
craft,hvac,services
craft,plumber,services
craft,tailor,services
office,estate_agent,services
office,insurance,services
